route_id,agency_id,route_short_name,route_long_name,route_type
FR:Line::03E81290-4977-4B5A-A051-E1633790D6F3:,1187,001G,Lille|Alpes,2
FR:Line::07bfc39f-4dfd-46ce-98c3-aad42dfa98bd:,1187,433H,Paris|La-Rochelle,2
FR:Line::089E6444-1515-40B0-B8E7-295FB185C9F9:,1187,801B,Paris|Vallée-de-la-Marne,2
FR:Line::0DDDEAB2-4EBA-4985-96AB-1DEDD0F4902D:,1187,801A,Paris|Reims|Sedan,2
FR:Line::16687383-70D2-4ABA-A124-1AB6A45C0E60:,1187,533B,Bordeaux|Lille,2
FR:Line::18B0FAF0-44B1-4D0A-A8AD-2E32B7602EAD:,1187,401D,Paris|Rennes|Saint-Malo|Saint-Brieuc,2
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,1187,071A,Lux|Alsace|Loraine|Paca,2
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,1187,803A,Paris|Metz,2
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,1187,421I,Paris|Poitiers|Rochelle,2
FR:Line::1C9BA26B-7D92-4D0E-86EF-895FB80E10BF:,1187,631D,Paris|Vallée-du-Rhône,2
FR:Line::1E753DF8-B3B7-4FFE-BF59-46FC27595D6E:,1187,621F,Paris|Tarentaise,2
FR:Line::1F038E5C-9CF4-4BFC-9D55-33F57B4DB04F:,1187,411A,Paris|Saint-Nazaire|Croisic,2
FR:Line::1d86325b-2798-4309-8fd8-191eeaaeeafd:,1187,433G,Paris|Rennes|Quimper,2
FR:Line::2239CF74-2DDE-4ECF-9A3F-022E65221125:,1187,621I,Paris|Arves,2
FR:Line::237820F0-01B1-49D5-AB3A-3ACA662E322E:,1187,041F,Lyon|Paca,2
FR:Line::25781E87-8F7D-4110-8EAC-A00082FF6F9C:,1187,433A,Paris|Nantes,2
FR:Line::2881AC3D-A347-4440-BEF8-23ACAB159588:,1187,421B,Paris|Tarbes,2
FR:Line::2C32F2C3-282A-4DCA-80AF-1B2FEAA61B11:,1187,411B,Paris|Sables-D'Olonnes,2
FR:Line::2F2D9904-8003-4160-AD06-1A68D3400380:,1187,333A,Paris|Strasbourg,2
FR:Line::338660B1-35FD-4306-969D-C99969913369:,1187,433E,Paris|Toulouse,2
FR:Line::37ac13d7-de6b-4d05-837f-891191140e19:,1187,612E,Paris|Lausanne,2
FR:Line::3C11D08B-6F1C-416C-A388-63B4074018CB:,1187,631A,Paris|Côte-d'Azur,2
FR:Line::409E20F1-3A95-426A-B174-0008A078BE1F:,1187,261C,Paris|Dunkerque,2
FR:Line::420bbac0-5a0a-472d-b444-f99f8e925b6a:,1187,622E,Paris|Genève,2
FR:Line::4767DC65-0993-4961-B6EC-E5BF6DFFB291:,1187,621G,Paris|Maurienne,2
FR:Line::4CB6B094-7310-4CD4-AE43-FC6F3C2EA917:,1187,611B,Paris|Mulhouse,2
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,1187,807A,Paris|Bas-Rhin,2
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,1187,071B,Lux|Alsace|Loraine,2
FR:Line::518E9B38-0951-4497-9594-67CB169CDB4E:,1187,003C,Nord|Bretagne,2
FR:Line::58E6B1CC-5FD9-4B7D-93CA-05062BA23E9C:,1187,001A,Lille|Lyon,2
FR:Line::58c0c9b7-3765-46af-85a3-f193f3030e9b:,1187,061A,Paris|Nantes,2
FR:Line::5B76AFB9-244D-4AC6-9720-8142DC7F6A91:,1187,601A,Paris|Lyon,2
FR:Line::5af9eaad-75f1-4fdd-a67b-a7aea5d19625:,1187,621H,Paris|Chablais,2
FR:Line::60faff89-b743-4b4b-a86b-3c0537769bfa:,1187,621B,Paris|Chambéry|Annecy,2
FR:Line::62C16406-4390-4C30-B97A-94317527CF00:,1187,411C,Paris|Lemans|Angers|Nantes,2
FR:Line::6667353C-75C7-4A33-8ADE-EBA7FFC003C6:,1187,802A,Paris|Espagne,2
FR:Line::67f8a1ee-e295-40e2-82e3-0cd94e9fd8f6:,1187,433F,Paris|Brest,2
FR:Line::69ABADD2-325C-47DC-BC61-D74DD87C5E3C:,1187,261E,Paris|Littoral,2
FR:Line::6CC8BBE5-9508-49DB-95CD-797616EA49C6:,1187,081C,Normandie|Paca|Alpes,2
FR:Line::6E3CCD81-9398-44C3-9D79-072A8303E507:,1187,803B,Paris|Thionville|Luxembourg,2
FR:Line::73D50859-5CA3-42BE-92D2-15B56125EF05:,1187,807B,Paris|Haut-Rhin,2
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,1187,421A,Paris|Hendaye,2
